M22 SCREEN 416x416 contentH=2716
  line[0] y=8 h=67 w=64 font=4
  line[1] y=79 h=67 w=64 font=4
  line[2] y=150 h=67 w=64 font=4
  line[3] y=221 h=67 w=64 font=4
  line[4] y=292 h=67 w=64 font=4
  line[5] y=367 h=32 w=282 font=0
  line[6] y=403 h=32 w=282 font=0
  line[7] y=443 h=32 w=328 font=0
  line[8] y=483 h=58 w=356 font=3
  line[9] y=549 h=32 w=366 font=0
  line[10] y=589 h=32 w=366 font=0
  line[11] y=629 h=49 w=366 font=2
  line[12] y=686 h=32 w=366 font=0
  line[13] y=726 h=32 w=366 font=0
  line[14] y=766 h=43 w=366 font=1
  line[15] y=817 h=32 w=366 font=0
  line[16] y=857 h=32 w=366 font=0
  line[17] y=897 h=58 w=366 font=3
  line[18] y=963 h=32 w=366 font=0
  line[19] y=1003 h=32 w=366 font=0
  line[20] y=1043 h=49 w=366 font=2
  line[21] y=1100 h=32 w=366 font=0
  line[22] y=1140 h=32 w=366 font=0
  line[23] y=1180 h=49 w=366 font=2
  line[24] y=1237 h=32 w=366 font=0
  line[25] y=1277 h=32 w=366 font=0
  line[26] y=1317 h=43 w=366 font=1
  line[27] y=1368 h=32 w=366 font=0
  line[28] y=1408 h=32 w=366 font=0
  line[29] y=1448 h=58 w=366 font=3
  line[30] y=1514 h=32 w=366 font=0
  line[31] y=1554 h=32 w=366 font=0
  line[32] y=1594 h=43 w=366 font=1
  line[33] y=1645 h=32 w=366 font=0
  line[34] y=1685 h=32 w=366 font=0
  line[35] y=1725 h=58 w=366 font=3
  line[36] y=1791 h=32 w=366 font=0
  line[37] y=1831 h=32 w=366 font=0
  line[38] y=1871 h=49 w=366 font=2
  line[39] y=1928 h=32 w=366 font=0
  line[40] y=1968 h=32 w=366 font=0
  line[41] y=2008 h=49 w=366 font=2
  line[42] y=2065 h=32 w=366 font=0
  line[43] y=2105 h=32 w=366 font=0
  line[44] y=2145 h=58 w=366 font=3
  line[45] y=2211 h=32 w=366 font=0
  line[46] y=2251 h=32 w=366 font=0
  line[47] y=2291 h=43 w=366 font=1
  line[48] y=2342 h=32 w=366 font=0
  line[49] y=2382 h=32 w=366 font=0
  line[50] y=2422 h=58 w=362 font=3
  line[51] y=2488 h=32 w=326 font=0
  line[52] y=2524 h=32 w=326 font=0
  line[53] y=2564 h=32 w=276 font=0
  line[54] y=2600 h=32 w=276 font=0
  line[55] y=2640 h=32 w=194 font=0
  line[56] y=2676 h=32 w=194 font=0
